fecha,ubicacion,id_camera,ACCIDENTE,Gravedad_nombre,con_embriaguez,con_persona_mayor,con_embarazo,latitud,longitud,year
2019-09-19,CL 100-KR 23 02,DEI-010/CAM-04,A001054159,Solo Daños,NO,SI,,4.68700000000001,-74.056,2019
2019-09-19,AV AVENIDA DE LAS AMERICAS-KR 72 02,DEI-002/CAM-01,A001054254,Con Heridos,NO,NO,,4.63099999999997,-74.138,2019
2019-09-19,AV AVENIDA DE LAS AMERICAS-KR 72 02,DEI-002/CAM-02,A001054254,Con Heridos,NO,NO,,4.63099999999997,-74.138,2019
2019-10-04,KR 30-CL 57 2,DEI-016/CAM-01,A001054310,Con Heridos,SI,NO,,4.64699999999999,-74.0789958445,2019
2019-10-04,KR 30-CL 57 2,DEI-016/CAM-02,A001054310,Con Heridos,SI,NO,,4.64699999999999,-74.0789958445,2019
2019-10-04,KR 30-CL 57 2,DEI-016/CAM-03,A001054310,Con Heridos,SI,NO,,4.64699999999999,-74.0789958445,2019
2019-09-20,DG 2-KR 79C 02,DEI-024/CAM-02,A001054320,Solo Daños,NO,SI,,4.63200000000001,-74.152,2019
2019-09-30,AV AVENIDA CIUDAD DE CALI-CL 34 S 02,DEI-001/CAM-01,A001054328,Con Heridos,NO,NO,,4.61700000000002,-74.14,2019
2019-09-30,AV AVENIDA CIUDAD DE CALI-CL 34 S 02,DEI-001/CAM-02,A001054328,Con Heridos,NO,NO,,4.61700000000002,-74.14,2019
2019-09-18,AV AVENIDA DE LAS AMERICAS-KR 78C 02,DEI-024/CAM-01,A001054360,Con Heridos,NO,NO,,4.63099999999997,-74.146,2019
2019-09-20,AV AVENIDA BOYACA-CL 9 02,DEI-002/CAM-01,A001054365,Solo Daños,NO,SI,,4.63,-74.137667694,2019
2019-09-20,AV AVENIDA BOYACA-CL 9 02,DEI-002/CAM-02,A001054365,Solo Daños,NO,SI,,4.63,-74.137667694,2019
2019-09-24,CL 9-KR 68 2,DEI-003/CAM-01,A001054371,Solo Daños,NO,NO,,4.62900000000002,-74.122,2019
